country,R,G,B
AR,0.05,0.14184795,0.05
BO,0.9470609,0.05,0.5356392
BR,0.7170439,0.95,0.4471783
CA,0.69829077,0.8127901,0.4757542
CL,0.95,0.08829275,0.52118474
CO,0.2857448,0.06859101,0.95
CR,0.05,0.15829518,0.07628892
CU,0.95,0.05,0.51937085
DO,0.8485635,0.05,0.5327169
EC,0.9019441,0.12240834,0.5458523
ES,0.64513975,0.93378663,0.49919206
FR,0.69480133,0.9324151,0.48083037
GB,0.6521666,0.95,0.45939338
GQ,0.31843695,0.1197761,0.95
GT,0.25157183,0.1306938,0.95
HN,0.227858,0.05,0.95
MX,0.21808955,0.18585975,0.90201867
NI,0.05,0.09596396,0.05
PA,0.83796453,0.18787278,0.5203455
PE,0.9242327,0.13308038,0.48702604
PR,0.37082288,0.5273848,0.611533
PY,0.19829082,0.12779088,0.95
SV,0.8383197,0.29325828,0.52583057
US,0.5894823,0.8719672,0.49317858
UY,0.052953165,0.12155502,0.05
VE,0.8628251,0.09814047,0.48610878
