country,R,G,B
ALL,0.9,0.1,0.30339625
AR,0.9,0.21897694,0.1
BO,0.1,0.45513612,0.52957696
CA,0.1,0.69798553,0.88029695
CL,0.9,0.5264064,0.21394233
CO,0.7518132,0.1,0.5594246
CR,0.3293493,0.9,0.6039843
DO,0.30259126,0.38889462,0.28460294
EC,0.5580711,0.5145737,0.26511666
ES,0.9,0.1451617,0.8728036
FR,0.1,0.7336684,0.28830945
GB,0.1,0.9,0.55267143
GT,0.22816125,0.6712564,0.482567
HN,0.1614349,0.8644118,0.9
MX,0.9,0.306601,0.5707153
NI,0.19985221,0.78875023,0.1
PA,0.419303,0.5882179,0.80229795
PE,0.6123676,0.3068347,0.8086338
PY,0.44727278,0.75844944,0.26168054
SV,0.21640347,0.5452002,0.9
US,0.79796433,0.41088465,0.6470586
UY,0.6600549,0.15879571,0.1416643
VE,0.7675089,0.45354578,0.1271824
